Antw A1,Antw A21,Antw A22,Antw A23,Antw A24,Antw A25,Antw A26,Antw A27,Antw A31,Antw A32,Antw A33,Antw A34,Antw A4,Antw A5,Antw A61,Antw A62,Antw A63,Antw A7,Antw A8,Antw A9,Antw A10,Antw A11,Antw B1,Antw B21,Antw B22,Antw B23,Antw B24,Antw B25,Antw B26,Antw B27,Antw B31,Antw B32,Antw B33,Antw B34,Antw B4,Antw B5,Antw B61,Antw B62,Antw B63,Antw B7,Antw B8,Antw B9,Antw B10,Antw B11
^10.?000.?000|^10 ?mln,Geen verandering,Stijgt,Stijgt,Geen verandering,Geen verandering,Geen verandering,Geen verandering,Geen verandering,Stijgt,Daalt,Stijgt|Daalt|Geen verandering,"^2[.,][0-1][0-9]","^-6([.,]0*)?%?",Matchingprincipe,Voorzichtigheidsbeginsel,Continuiteitsbeginsel,^7[.]?8[0-9][0-9]( EUR)?,"0[.,]1[56][0-9]*|^1[5-6][.,][0-9]*%?","^8[.,][0-2][0-9]*%?",0,^.*[Ss]trong.*$|^.*[Ss]terk.*$|^.*[Ss]emi.*$,^11.?000.?000|^11 ?mln,Geen verandering,Geen verandering,Geen verandering,Stijgt,Geen verandering,Daalt,Geen verandering,Geen verandering,Geen verandering,Stijgt,Stijgt|Daalt|Geen verandering,"25(%)?|^0[.,]250*","13[,.][6-8][0-9]*(%)?|14(%)?",Realisatiebeginsel,Voorzichtigheidsbeginsel,Bestendige gedragslijn,^-8[.]?5[0-9][0-9]( EUR)?,"^0[.,]0[2-3][0-9]*|0[.,]1[56][0-9]*|^1[5-6][.,][0-9]*%?","^10[.,][5-7][0-9]*%?",2( EUR)?,^.*[Ss]trong.*$|^.*[Ss]terk.*$|^.*[Ss]emi.*$
6,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,1.5,1.5,1.5,1.5,6,6,2,2,2,6,6,6,6,6,6,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,1.5,1.5,1.5,1.5,6,6,2,2,2,6,6,6,6,6
